Open;High;Low;Close;Adj Close;Volume
162600006;163130005;161690002;162279999;162279999;11097800
163899994;167500000;163830002;167369995;167369995;18894700
167369995;171880005;166550003;171259995;171259995;28187900
172899994;173570007;171270004;172509995;172509995;21531700
171500000;171740005;167610001;169130005;169130005;18306500
166199997;169619995;165970001;169600006;169600006;13184800
171600006;174300003;171580002;172070007;172070007;18884000
172089996;173800003;171220001;171919998;171919998;12155300
172320007;174029999;172119995;173369995;173369995;11973300
169759995;171149994;168160004;170169998;170169998;18037400
167160004;167580002;162509995;165979996;165979996;37135400
163570007;163899994;159279999;160470001;160470001;37524200
161479996;163820007;160820007;161570007;161570007;25611500
161500000;166119995;161240005;165440002;165440002;20211500
164889999;166389999;163750000;166080002;166080002;16223000
165649994;167419998;164089996;164339996;164339996;16389200
163000000;166539993;162000000;166289993;166289993;12631200
167350006;169449997;166350006;167679993;167679993;15437900
167850006;168940002;164789993;165869995;165869995;10620300
164570007;166720001;163330002;165550003;165550003;10443000
166389999;167190002;164809998;166690002;166690002;13455500
